,number,value,datetime_start,datetime_complete,duration,params_classifier,params_criterion,params_k_neighbors,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_replacement,params_sampling,params_sampling_strategy,state
33,33,0.6591489570683418,2026-01-09 14:38:08.566022,2026-01-09 14:38:39.098106,0 days 00:00:30.532084,rf,log_loss,3.0,,54,155,105.0,,over,0.5,COMPLETE
34,34,0.6652588481200755,2026-01-09 14:38:39.098898,2026-01-09 14:39:06.265251,0 days 00:00:27.166353,rf,log_loss,3.0,,54,170,115.0,,over,0.4,COMPLETE
35,35,0.6536860702866039,2026-01-09 14:39:06.265971,2026-01-09 14:39:43.847340,0 days 00:00:37.581369,rf,log_loss,3.0,,54,170,115.0,,over,0.6000000000000001,COMPLETE
36,36,0.658682018633886,2026-01-09 14:39:43.848379,2026-01-09 14:40:23.503564,0 days 00:00:39.655185,rf,log_loss,3.0,,58,160,145.0,,over,0.5,COMPLETE
37,37,0.4675474668069986,2026-01-09 14:40:23.504453,2026-01-09 14:40:24.317140,0 days 00:00:00.812687,dt,log_loss,,6.0,78,125,,,real,,COMPLETE
38,38,0.6652063933692535,2026-01-09 14:40:24.317846,2026-01-09 14:40:57.171408,0 days 00:00:32.853562,rf,log_loss,4.0,,50,135,135.0,,over,0.4,COMPLETE
39,39,0.6306473993056342,2026-01-09 14:40:57.172235,2026-01-09 14:40:57.471637,0 days 00:00:00.299402,dt,log_loss,,5.0,88,105,,False,under,0.6000000000000001,COMPLETE
40,40,0.6594392547312659,2026-01-09 14:40:57.472469,2026-01-09 14:41:34.845459,0 days 00:00:37.372990,rf,log_loss,4.0,,64,130,130.0,,over,0.5,COMPLETE
41,41,0.6659621250694119,2026-01-09 14:41:34.846697,2026-01-09 14:42:03.277855,0 days 00:00:28.431158,rf,log_loss,3.0,,50,135,115.0,,over,0.4,COMPLETE
42,42,0.6653797171413139,2026-01-09 14:42:03.278745,2026-01-09 14:42:36.571765,0 days 00:00:33.293020,rf,log_loss,3.0,,54,135,140.0,,over,0.4,COMPLETE
43,43,0.6651571048923891,2026-01-09 14:42:36.572755,2026-01-09 14:43:20.044846,0 days 00:00:43.472091,rf,log_loss,4.0,,54,135,180.0,,over,0.4,COMPLETE
44,44,0.6650536617893061,2026-01-09 14:43:20.045747,2026-01-09 14:44:08.069788,0 days 00:00:48.024041,rf,log_loss,4.0,,58,115,195.0,,over,0.4,COMPLETE
45,45,0.4675474668069986,2026-01-09 14:44:08.070978,2026-01-09 14:44:09.170650,0 days 00:00:01.099672,dt,log_loss,,7.0,54,135,,,real,,COMPLETE
46,46,0.6428141551047533,2026-01-09 14:44:09.171682,2026-01-09 14:45:16.271370,0 days 00:01:07.099688,rf,log_loss,4.0,,62,115,175.0,,over,0.8,COMPLETE
47,47,0.66430695578917,2026-01-09 14:45:16.272498,2026-01-09 14:45:48.885330,0 days 00:00:32.612832,rf,log_loss,4.0,,92,85,145.0,,over,0.4,COMPLETE
48,48,0.6592865989363601,2026-01-09 14:45:48.886467,2026-01-09 14:46:43.294430,0 days 00:00:54.407963,rf,entropy,3.0,,56,120,185.0,,over,0.5,COMPLETE
49,49,0.6651010815306679,2026-01-09 14:46:43.295272,2026-01-09 14:47:22.305836,0 days 00:00:39.010564,rf,log_loss,4.0,,62,100,165.0,,over,0.4,COMPLETE
